"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn","301	","California","SNOTEL","Modoc","6170","41.23583","-120.79192","180200021403	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","18","33","17","33","15","1","2","1","1","-0.4","32","29","12",,"1.1","0.6","1.2","0.6","0","5.4","2018, 2019, 2021, more","1994","42"
"Agnew Pass","AGP	","California","Cooperator Snow Sensors","Madera","9300","37.724","-119.143","180400060401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"2.7","2.2","2.6","2.1","0","10","2006, 2013, 2018, more","2004","27"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8890","37.52217","-112.27118","160300020301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.7","340",,"340",,"100","17","19","17","19","1.7","87","5","27",,"0.5","0","0.5","0","0","2.3","2020, 2021, 2024, more","2000","32"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.9","132","153","138","145","100","27","26","27","26","0.9","87","6","33",,"2.2","1.9","2.1","2","0","5.4","2001","1997","39"
"Akima Pass #2","05AD803	","Alberta","Cooperator Snow Sensors","	","5777","49.02728","-114.05294","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"1.6","1.6","1.6","1.6","2024","2024","1"
"Albro Lake","916	","Montana","SNOTEL","Madison","8500","45.59723","-111.95902","100200050701	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.2","54","58","55","58","100","10","10","10","10","-1.6","21","24","7",,"4.1","3.8","4","3.8","0.8","10","2016","2013","30"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","170","61.7493","-150.89199","190205051106	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.9",,,"56","64","100",,,"10","10","-0.5","27","9","4",,,,"1.6","1.4","0","3.3","2014","2022","12"
"Alpha","ALP	","California","Cooperator Snow Sensors","El Dorado","7560","38.805","-120.215","180201290204	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.3","93","162","65","81","100","4","4","3","4","-0.3","45","32","25",,"1.4","0.8","2","1.6","0","8","2019, 2021, 2023, more","1994","57"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","12","22","12","22","27","1","1","1","1","-1.4","26","24","9",,"3.4","1.8","3.2","1.8","0","14.9","2014, 2018, 2019, more","1994","32"
"Alta Lakes","1344	","Colorado","SNOTEL","San Miguel","11290","37.88929","-107.84484","140300030103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.5",,,"100","100","100",,,,,"0",,"1","1",,,,"1.5","1.5","1.5","1.5","2025","2025","1"
