Date,SWE_in,SnowDepth_in,PrecipAccum_in,MaxTemp_F,MinTemp_F,NewSnow_in,Precip_Liquid_in,Resort
2005-01-02,30.5,91,0.3,20.1,17.1,3.0,0.0,Palisades Tahoe
2005-01-03,31.1,93,0.0,21.0,16.9,2.0,0.0,Palisades Tahoe
2005-01-04,31.1,94,0.1,27.9,14.9,1.0,0.1,Palisades Tahoe
2005-01-05,31.1,91,0.0,19.8,16.2,0.0,0.0,Palisades Tahoe
2005-01-06,31.1,89,0.1,20.3,16.0,0.0,0.1,Palisades Tahoe
2005-01-07,32.2,88,2.1,28.4,18.9,0.0,2.0,Palisades Tahoe
2005-01-08,33.5,90,2.9,21.7,15.6,2.0,0.7999999999999998,Palisades Tahoe
2005-01-09,37.5,108,0.9,29.7,20.5,18.0,0.0,Palisades Tahoe
2005-01-10,40.0,111,0.1,29.1,19.6,3.0,0.0,Palisades Tahoe
2005-01-11,43.3,119,0.0,21.0,14.9,8.0,0.0,Palisades Tahoe
2005-01-12,43.3,121,2.0,37.8,13.6,2.0,2.0,Palisades Tahoe
2005-01-13,44.0,118,0.1,38.8,30.2,0.0,0.0,Palisades Tahoe
2005-01-14,44.2,116,0.6,40.5,29.8,0.0,0.5,Palisades Tahoe
2005-01-15,44.3,114,0.1,44.1,33.3,0.0,0.0,Palisades Tahoe
2005-01-16,44.6,113,0.0,39.4,30.4,0.0,0.0,Palisades Tahoe
2005-01-17,44.8,111,0.1,51.3,34.3,0.0,0.1,Palisades Tahoe
2005-01-18,45.0,109,0.2,52.2,41.2,0.0,0.1,Palisades Tahoe
2005-01-19,45.4,108,0.0,62.6,44.8,0.0,0.0,Palisades Tahoe
2005-01-20,45.4,107,0.0,50.0,38.8,0.0,0.0,Palisades Tahoe
2005-01-21,45.4,105,0.0,53.8,36.7,0.0,0.0,Palisades Tahoe
2005-01-22,45.9,105,0.0,56.1,39.4,0.0,0.0,Palisades Tahoe
2005-01-23,45.9,104,0.0,49.1,36.5,0.0,0.0,Palisades Tahoe
2005-01-24,45.9,102,0.0,42.6,34.2,0.0,0.0,Palisades Tahoe
2005-01-25,46.3,102,0.1,36.5,30.9,0.0,0.1,Palisades Tahoe
2005-01-26,47.0,102,0.3,31.5,23.9,0.0,0.19999999999999998,Palisades Tahoe
2005-01-27,47.0,106,0.0,29.5,21.7,4.0,0.0,Palisades Tahoe
2005-01-28,47.2,101,0.5,25.2,16.3,0.0,0.5,Palisades Tahoe
2005-01-29,47.2,105,0.2,27.0,14.9,4.0,0.0,Palisades Tahoe
2005-01-30,47.2,104,0.1,32.9,17.8,0.0,0.0,Palisades Tahoe
2005-01-31,47.2,103,0.1,41.4,23.7,0.0,0.0,Palisades Tahoe
2005-02-01,47.3,102,0.0,36.9,24.6,0.0,0.0,Palisades Tahoe
2005-02-02,47.3,101,0.0,36.0,25.0,0.0,0.0,Palisades Tahoe
2005-02-03,47.3,101,0.0,44.4,30.2,0.0,0.0,Palisades Tahoe
2005-02-04,47.3,101,0.0,41.2,31.6,0.0,0.0,Palisades Tahoe
2005-02-05,47.3,100,0.0,40.5,27.3,0.0,0.0,Palisades Tahoe
2005-02-06,47.3,99,0.0,29.7,20.7,0.0,0.0,Palisades Tahoe
2005-02-07,47.3,99,0.1,27.0,20.5,0.0,0.1,Palisades Tahoe
2005-02-08,48.4,102,0.0,32.9,17.8,3.0,0.0,Palisades Tahoe
2005-02-09,48.4,102,0.2,38.7,20.5,0.0,0.2,Palisades Tahoe
2005-02-10,48.6,101,0.2,34.3,22.1,0.0,0.0,Palisades Tahoe
2005-02-11,49.1,101,0.1,36.3,26.8,0.0,0.0,Palisades Tahoe
2005-02-12,49.2,102,0.1,32.7,26.4,1.0,0.0,Palisades Tahoe
2005-02-13,49.3,103,0.5,30.6,26.2,1.0,0.4,Palisades Tahoe
2005-02-14,49.9,103,0.1,29.8,26.4,0.0,0.0,Palisades Tahoe
2005-02-15,50.0,103,0.3,31.3,27.0,0.0,0.19999999999999998,Palisades Tahoe
2005-02-16,50.6,105,0.4,37.2,25.7,2.0,0.10000000000000003,Palisades Tahoe
2005-02-17,50.9,110,0.1,36.7,25.0,5.0,0.0,Palisades Tahoe
2005-02-18,51.5,109,0.0,33.3,25.0,0.0,0.0,Palisades Tahoe
2005-02-19,51.5,109,0.3,32.2,25.2,0.0,0.3,Palisades Tahoe
2005-02-20,52.0,109,1.1,30.4,24.3,0.0,0.8,Palisades Tahoe
2005-02-21,53.1,114,0.5,35.6,26.8,5.0,0.0,Palisades Tahoe
2005-02-22,53.5,119,0.2,36.5,25.2,5.0,0.0,Palisades Tahoe
2005-02-23,53.9,119,0.1,34.5,23.9,0.0,0.0,Palisades Tahoe
2005-02-24,54.0,119,0.1,36.7,24.3,0.0,0.0,Palisades Tahoe
2005-02-25,54.2,117,0.0,38.7,23.9,0.0,0.0,Palisades Tahoe
2005-02-26,54.2,115,0.0,39.0,22.3,0.0,0.0,Palisades Tahoe
2005-02-27,54.2,115,0.0,31.8,23.5,0.0,0.0,Palisades Tahoe
2005-02-28,54.6,117,0.6,32.0,20.8,2.0,0.6,Palisades Tahoe
2005-03-01,55.1,118,0.0,35.2,26.2,1.0,0.0,Palisades Tahoe
2005-03-02,55.1,116,0.7,30.7,21.7,0.0,0.7,Palisades Tahoe
2005-03-03,55.4,118,0.3,36.5,21.4,2.0,0.0,Palisades Tahoe
2005-03-04,55.5,117,0.0,36.1,26.4,0.0,0.0,Palisades Tahoe
2005-03-05,55.5,116,0.1,42.8,26.8,0.0,0.1,Palisades Tahoe
2005-03-06,55.5,114,0.0,44.8,28.2,0.0,0.0,Palisades Tahoe
2005-03-07,55.5,114,0.1,55.2,32.2,0.0,0.1,Palisades Tahoe
2005-03-08,55.7,112,0.0,60.8,39.4,0.0,0.0,Palisades Tahoe
2005-03-09,55.9,110,0.0,54.7,40.1,0.0,0.0,Palisades Tahoe
2005-03-10,56.2,108,0.3,48.0,35.6,0.0,0.3,Palisades Tahoe
